MCFChannelGroupingPath,Conversions,Conversion Value
OrganicSearch,2508,586.4
Direct,1963,745.54
Referral,1021,0
Direct>Direct,554,59.58
PaidSearch,395,541.76
OrganicSearch>Direct,384,126.93
Referral>Direct,291,0
Direct>Direct>Direct,252,94.99
OtherAdvertising,242,57.87
OrganicSearch>Direct>Direct,138,51.56
SocialNetwork,135,0
Referral>Direct>Direct,129,0
(unavailable),126,0
Direct>Direct>Direct>Direct,106,127.9
Direct>Referral,101,0
Direct>Direct>Direct>Direct>Direct,85,0
Direct>Referral>Direct,61,0
Direct>OrganicSearch,58,25.98
Referral>Direct>Direct>Direct,58,0
OrganicSearch>Direct>Direct>Direct,51,0
PaidSearch>Direct,48,0
PaidSearch>OrganicSearch,46,69.96
OrganicSearch>OtherAdvertising,42,0
Direct>Direct>Direct>Direct>Direct>Direct,39,40.95
OrganicSearch>Referral,35,0
OrganicSearch>PaidSearch,31,0
PaidSearch>PaidSearch,30,61.77
Referral>Direct>Direct>Direct>Direct,29,0
SocialNetwork>Direct,27,0
Direct>Direct>Referral,26,0
OtherAdvertising>Direct,26,0
Display,23,0
OrganicSearch>(unavailable),21,0
(unavailable)>Direct,19,107.87
PaidSearch>Direct>Direct,18,29.94
OrganicSearch>Direct>Direct>Direct>Direct,17,0
PaidSearch>Referral,16,0
OrganicSearch>Referral>Direct,16,0
Direct>PaidSearch,15,0
Referral>OrganicSearch,15,0
Direct>Referral>Direct>Direct>Direct,14,0
Direct>OrganicSearch>Direct,14,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct,14,0
OrganicSearch>Direct>Referral,14,0
Direct>Referral>Direct>Direct>Direct>Direct,13,0
PaidSearch>Direct>Direct>Direct,12,131.94
PaidSearch>OrganicSearch>Direct,12,33.99
OtherAdvertising>OrganicSearch,12,0
Direct>Referral>Direct>Direct,11,0
Referral>Direct>Direct>Direct>Direct>Direct,11,0
OtherAdvertising>Direct>Direct,11,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,10,0
Direct>Direct>OrganicSearch,10,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct,10,0
Referral>Referral,10,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,9,0
Direct>Direct>Direct>Referral,9,0
Direct>Direct>Referral>Direct,9,0
OrganicSearch>PaidSearch>OrganicSearch,9,0
Direct>SocialNetwork,8,0
Referral>Direct>Referral,8,0
OrganicSearch>OrganicSearch,8,0
(unavailable)>OrganicSearch,7,0
OrganicSearch>Direct>OtherAdvertising,7,0
OrganicSearch>OtherAdvertising>OrganicSearch,7,0
SocialNetwork>OrganicSearch,7,0
PaidSearch>PaidSearch>PaidSearch,6,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct,6,0
(unavailable)>Direct>Direct,6,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct,6,0
